Temp,"HSN(Si,Ti)@bcc","HSN(Ti,Ti)@bcc","HSN(Si,Si)@bcc"
912,112850,271721,295274
911,113227,272151,295622
910,113607,272583,295972
909,113989,273018,296326
908,114375,273456,296682
907,114764,273898,297042
906,115155,274342,297404
905,115550,274789,297770
904,115947,275239,298139
903,116348,275692,298511
902,116751,276148,298886
901,117158,276608,299264
900,117566,277069,299644
899,117979,277535,300028
898,118394,278003,300416
897,118812,278474,300806
896,119234,278949,301200
895,119658,279426,301596
894,120086,279907,301996
893,120516,280390,302399
892,120950,280877,302806
891,121387,281367,303215
890,121826,281860,303628
889,122269,282357,304044
888,122716,282856,304463
887,123165,283359,304886
886,123617,283865,305311
885,124073,284374,305741
884,124532,284886,306173
883,124994,285402,306609
882,125459,285920,307048
881,125927,286443,307490
880,126399,286968,307936
879,126874,287497,308385
878,127352,288029,308837
877,127834,288564,309293
876,128318,289103,309753
875,128807,289645,310216
874,129298,290190,310682
873,129793,290739,311152
872,130291,291291,311625
871,130793,291847,312102
870,131298,292406,312582
869,131807,292968,313066
868,132319,293534,313554
867,132834,294104,314045
866,133353,294677,314539
865,133876,295254,315038
864,134402,295834,315540
863,134931,296417,316045
862,135464,297005,316555
861,136001,297596,317068
860,136541,298190,317584
859,137085,298789,318105
858,137633,299391,318629
857,138184,299996,319157
856,138739,300606,319689
855,139298,301219,320225
854,139860,301836,320764
853,140426,302456,321308
852,140996,303081,321855
851,141570,303709,322406
850,142147,304341,322961
849,142729,304977,323521
848,143314,305617,324084
847,143903,306261,324651
846,144496,306908,325222
845,145093,307560,325797
844,145694,308216,326377
843,146299,308875,326960
842,146908,309539,327548
841,147521,310207,328140
840,148138,310879,328736
839,148759,311555,329336
838,149385,312235,329940
837,150014,312919,330549
836,150648,313608,331162
835,151286,314301,331779
834,151928,314997,332401
833,152574,315699,333027
832,153224,316404,333657
831,153879,317114,334292
830,154539,317828,334931
829,155202,318547,335575
828,155870,319270,336223
827,156542,319997,336876
826,157219,320729,337533
825,157901,321466,338195
824,158586,322206,338862
823,159277,322952,339533
822,159972,323702,340209
821,160671,324457,340890
820,161375,325216,341575
819,162084,325980,342266
818,162798,326749,342961
817,163516,327522,343660
816,164239,328301,344365
815,164967,329084,345075
814,165700,329872,345790
813,166437,330664,346509
812,167179,331462,347234
811,167927,332265,347963
810,168679,333072,348698
809,169436,333885,349438
808,170199,334703,350183
807,170966,335525,350933
806,171739,336353,351689
805,172516,337186,352450
804,173299,338024,353216
803,174087,338868,353987
802,174881,339717,354764
801,175679,340571,355546
800,176483,341430,356333
799,177292,342295,357127
798,178107,343165,357925
797,178927,344041,358729
796,179753,344922,359539
795,180584,345808,360355
794,181421,346701,361176
793,182263,347598,362003
792,183111,348502,362835
791,183965,349411,363674
790,184824,350326,364518
789,185690,351247,365368
788,186561,352174,366224
787,187438,353106,367086
786,188321,354045,367955
785,189209,354989,368829
784,190104,355939,369709
783,191005,356896,370596
782,191912,357858,371488
781,192825,358827,372387
780,193744,359802,373293
779,194670,360783,374204
778,195602,361770,375122
777,196540,362764,376047
776,197485,363764,376978
775,198435,364771,377916
774,199393,365784,378860
773,200357,366804,379811
772,201328,367830,380768
771,202305,368863,381732
770,203289,369902,382703
769,204279,370949,383681
768,205277,372002,384666
767,206281,373062,385658
766,207292,374129,386657
765,208310,375202,387663
764,209336,376283,388676
763,210368,377371,389696
762,211407,378466,390724
761,212454,379568,391758
760,213508,380678,392800
759,214569,381795,393850
758,215637,382919,394907
757,216713,384050,395972
756,217797,385190,397044
755,218888,386336,398124
754,219986,387490,399211
753,221092,388652,400306
752,222206,389822,401410
751,223328,390999,402521
750,224458,392185,403640
749,225595,393378,404767
748,226741,394579,405902
747,227895,395789,407046
746,229056,397006,408197
745,230226,398232,409357
744,231405,399465,410526
743,232591,400708,411702
742,233786,401958,412888
741,234990,403217,414081
740,236202,404485,415284
739,237422,405761,416495
738,238652,407046,417715
737,239890,408340,418944
736,241137,409643,420182
735,242393,410954,421429
734,243658,412275,422686
733,244932,413604,423951
732,246215,414943,425225
731,247507,416291,426509
730,248809,417649,427803
729,250120,419015,429105
728,251441,420392,430418
727,252771,421777,431740
726,254111,423173,433072
725,255460,424578,434414
724,256820,425993,435765
723,258189,427418,437127
722,259568,428853,438499
721,260958,430298,439881
720,262357,431753,441273
719,263767,433218,442676
718,265188,434694,444089
717,266618,436180,445513
716,268060,437677,446947
715,269511,439184,448392
714,270974,440703,449848
713,272448,442232,451315
712,273932,443772,452793
711,275428,445323,454282
710,276934,446885,455783
709,278452,448458,457294
708,279981,450043,458818
707,281522,451639,460352
706,283074,453246,461899
705,284638,454866,463457
704,286214,456497,465027
703,287802,458140,466609
702,289401,459795,468203
701,291013,461462,469810
700,292637,463141,471428
699,294273,464833,473059
698,295922,466537,474703
697,297583,468254,476359
696,299257,469983,478029
695,300944,471725,479711
694,302644,473480,481406
693,304357,475248,483114
692,306083,477030,484836
691,307822,478824,486571
690,309575,480632,488319
689,311341,482454,490082
688,313121,484289,491858
687,314915,486138,493648
686,316723,488002,495452
685,318545,489879,497270
684,320381,491770,499103
683,322232,493676,500950
682,324097,495596,502811
681,325977,497531,504688
680,327872,499481,506579
679,329781,501446,508486
678,331706,503426,510407
677,333646,505421,512344
676,335601,507431,514297
675,337572,509457,516265
674,339559,511499,518249
673,341562,513557,520249
672,343580,515630,522265
671,345615,517720,524298
670,347666,519826,526347
669,349734,521949,528412
668,351819,524088,530495
667,353920,526245,532594
666,356038,528418,534710
665,358174,530608,536844
664,360327,532816,538995
663,362498,535042,541164
662,364686,537285,543351
661,366892,539546,545556
660,369117,541825,547779
659,371360,544123,550021
658,373621,546439,552281
657,375901,548774,554560
656,378200,551127,556857
655,380518,553500,559174
654,382855,555892,561511
653,385212,558303,563867
652,387588,560735,566243
651,389985,563186,568639
650,392401,565657,571055
649,394838,568148,573491
648,397296,570660,575949
647,399774,573193,578427
646,402273,575747,580926
645,404794,578322,583446
644,407336,580919,585989
643,409900,583537,588552
642,412485,586177,591138
641,415093,588839,593747
640,417723,591524,596377
639,420376,594231,599031
638,423052,596962,601707
637,425751,599715,604407
636,428474,602492,607130
635,431220,605292,609877
634,433990,608117,612648
633,436784,610965,615443
632,439603,613838,618263
631,442447,616736,621108
630,445315,619659,623978
629,448209,622607,626873
628,451129,625581,629794
627,454074,628580,632741
626,457046,631606,635714
625,460044,634658,638714
624,463069,637737,641741
623,466121,640843,644794
622,469200,643977,647876
621,472307,647138,650985
620,475442,650327,654122
619,478606,653544,657288
618,481798,656790,660482
617,485019,660066,663706
616,488270,663370,666959
615,491550,666704,670242
614,494860,670068,673555
613,498201,673463,676898
612,501572,676888,680272
611,504975,680345,683678
610,508409,683833,687115
609,511875,687352,690584
608,515373,690904,694085
607,518904,694489,697619
606,522468,698107,701186
605,526066,701757,704787
604,529697,705442,708421
603,533362,709161,712090
602,537062,712915,715794
601,540797,716704,719533
600,544568,720528,723307
599,548375,724388,727117
598,552217,728284,730964
597,556097,732217,734848
596,560014,736188,738769
595,563969,740196,742727
594,567962,744242,746724
593,571993,748327,750760
592,576064,752451,754835
591,580174,756615,758950
590,584325,760818,763105
589,588516,765063,767301
588,592748,769348,771537
587,597022,773675,775816
586,601338,778045,780137
585,605697,782456,784501
584,610099,786912,788908
583,614545,791411,793359
582,619035,795954,797854
581,623571,800542,802394
580,628152,805176,806980
579,632778,809856,811612
578,637452,814583,816291
577,642173,819357,821018
576,646942,824178,825792
575,651759,829049,830615
574,656626,833968,835487
573,661543,838938,840410
572,666510,843957,845382
571,671528,849028,850406
570,676598,854151,855482
569,681720,859326,860611
568,686896,864555,865793
567,692126,869837,871029
566,697410,875174,876319
565,702750,880567,881665
564,708146,886015,887068
563,713599,891520,892527
562,719110,897084,898044
561,724679,902705,903619
560,730307,908386,909254
559,735995,914127,914949
558,741745,919928,920705
557,747556,925792,926523
556,753429,931718,932404
555,759366,937707,938347
554,765368,943761,944356
553,771434,949879,950430
552,777567,956064,956569
551,783767,962316,962776
550,790035,968636,969052
549,796372,975025,975396
548,802778,981484,981810
547,809256,988014,988295
546,815806,994616,994852
545,822428,1.00129e+06,1.00148e+06
544,829125,1.00804e+06,1.00819e+06
543,835897,1.01486e+06,1.01497e+06
542,842745,1.02176e+06,1.02182e+06
541,849670,1.02874e+06,1.02875e+06
540,856673,1.0358e+06,1.03577e+06
539,863756,1.04293e+06,1.04286e+06
538,870920,1.05015e+06,1.05003e+06
537,878166,1.05744e+06,1.05728e+06
536,885495,1.06482e+06,1.06462e+06
535,892908,1.07229e+06,1.07204e+06
534,900406,1.07984e+06,1.07955e+06
533,907992,1.08748e+06,1.08714e+06
532,915665,1.0952e+06,1.09482e+06
531,923428,1.10302e+06,1.10259e+06
530,931281,1.11092e+06,1.11046e+06
529,939227,1.11892e+06,1.11841e+06
528,947266,1.12701e+06,1.12646e+06
527,955400,1.13519e+06,1.1346e+06
526,963631,1.14348e+06,1.14284e+06
525,971959,1.15186e+06,1.15118e+06
524,980387,1.16033e+06,1.15961e+06
523,988915,1.16891e+06,1.16815e+06
522,997546,1.1776e+06,1.17679e+06
521,1.00628e+06,1.18638e+06,1.18553e+06
520,1.01512e+06,1.19527e+06,1.19438e+06
519,1.02407e+06,1.20427e+06,1.20334e+06
518,1.03312e+06,1.21338e+06,1.21241e+06
517,1.04229e+06,1.2226e+06,1.22158e+06
516,1.05157e+06,1.23193e+06,1.23087e+06
515,1.06096e+06,1.24137e+06,1.24027e+06
514,1.07047e+06,1.25093e+06,1.24979e+06
513,1.0801e+06,1.26061e+06,1.25943e+06
512,1.08984e+06,1.27041e+06,1.26918e+06
511,1.09971e+06,1.28032e+06,1.27906e+06
510,1.1097e+06,1.29037e+06,1.28906e+06
509,1.11982e+06,1.30053e+06,1.29919e+06
508,1.13006e+06,1.31083e+06,1.30944e+06
507,1.14044e+06,1.32125e+06,1.31982e+06
506,1.15094e+06,1.33181e+06,1.33034e+06
505,1.16158e+06,1.3425e+06,1.34098e+06
504,1.17235e+06,1.35332e+06,1.35177e+06
503,1.18326e+06,1.36428e+06,1.36269e+06
502,1.19432e+06,1.37539e+06,1.37375e+06
501,1.20551e+06,1.38663e+06,1.38496e+06
500,1.21685e+06,1.39802e+06,1.39631e+06
499,1.22834e+06,1.40956e+06,1.4078e+06
498,1.23997e+06,1.42125e+06,1.41945e+06
497,1.25176e+06,1.43309e+06,1.43125e+06
496,1.26371e+06,1.44508e+06,1.44321e+06
495,1.27581e+06,1.45723e+06,1.45532e+06
494,1.28807e+06,1.46955e+06,1.46759e+06
493,1.30049e+06,1.48202e+06,1.48003e+06
492,1.31309e+06,1.49466e+06,1.49263e+06
491,1.32584e+06,1.50747e+06,1.50539e+06
490,1.33877e+06,1.52045e+06,1.51834e+06
489,1.35188e+06,1.5336e+06,1.53145e+06
488,1.36516e+06,1.54694e+06,1.54474e+06
487,1.37862e+06,1.56045e+06,1.55821e+06
486,1.39226e+06,1.57414e+06,1.57187e+06
485,1.4061e+06,1.58802e+06,1.58571e+06
484,1.42012e+06,1.6021e+06,1.59975e+06
483,1.43433e+06,1.61636e+06,1.61397e+06
482,1.44874e+06,1.63082e+06,1.62839e+06
481,1.46335e+06,1.64548e+06,1.64302e+06
480,1.47817e+06,1.66035e+06,1.65784e+06
479,1.49319e+06,1.67542e+06,1.67287e+06
478,1.50842e+06,1.6907e+06,1.68812e+06
477,1.52387e+06,1.7062e+06,1.70358e+06
476,1.53954e+06,1.72192e+06,1.71926e+06
475,1.55543e+06,1.73786e+06,1.73516e+06
474,1.57154e+06,1.75402e+06,1.75128e+06
473,1.58789e+06,1.77042e+06,1.76764e+06
472,1.60447e+06,1.78705e+06,1.78423e+06
471,1.62129e+06,1.80392e+06,1.80106e+06
470,1.63835e+06,1.82103e+06,1.81814e+06
469,1.65566e+06,1.83839e+06,1.83546e+06
468,1.67323e+06,1.856e+06,1.85304e+06
